,1 进程,4 进程,16 进程,64 进程
1 客户端,926.000,4476.000,31027.200,83251.200
2 客户端,1929.000,11473.000,60313.600,124620.800
4 客户端,4156.000,27800.000,104243.200,167014.400
8 客户端,10050.000,53250.000,127692.800,206745.600
