,1 进程,4 进程,16 进程,64 进程
1 客户端,52.200,226.000,956.000,1126.000
2 客户端,104.500,473.000,1763.000,2252.000
4 客户端,225.300,1015.000,2652.000,3472.000
8 客户端,480.600,1753.000,3235.000,3608.000
