,1 进程,4 进程,16 进程,64 进程
1 客户端,448.888,2400.803,13638.072,27785.947
2 客户端,925.68,5664.166,25889.163,50434.484
4 客户端,2001.137,12986.968,50330.952,91387.825
8 客户端,4479.831,25933.437,86667.966,112746.199
