,1 进程,4 进程,16 进程,64 进程
1 客户端,605.143,3678.138,18631.342,47035.912
2 客户端,1301.151,8365.667,34005.25,64860.041
4 客户端,3032.683,14017.426,50938.926,80692.761
8 客户端,7170.386,32056.959,68761.908,88357.563
