,1 进程,4 进程,16 进程,64 进程
1 客户端,3.620,17.500,118.000,318.000
2 客户端,7.540,44.800,230.000,476.000
4 客户端,16.245,107.700,397.900,636.000
8 客户端,39.274,208.100,487.100,787.100
