,1 进程,4 进程,16 进程,64 进程
1 客户端,1073.150,887.570,523.820,784.030
2 客户端,1030.010,691.530,539.525,1042.685
4 客户端,955.972,575.183,618.445,1552.205
8 客户端,789.883,598.393,1016.185,2506.424
