,1 进程,4 进程,16 进程,64 进程
1 客户端,283232.761,1215309.524,4231088.104,12579177.02
2 客户端,572834.143,2169669.058,8362749.217,18120970.71
4 客户端,1263474.549,3333746.786,10160929.29,31874265.88
8 客户端,2258670.069,8715752.83,22524794.98,77533648.04
