,1 进程,4 进程,16 进程,64 进程
1 客户端,2385.400,2190.210,2052.360,7081.320 
2 客户端,2383.610,2081.850,2233.790,7079.450 
4 客户端,2216.305,1947.688,2946.017,8842.903 
8 客户端,2073.921,2256.120,4787.496,17002.425 
