,1 Process,4 Processes,16 Processes,64 Processes
1 Client,1641 ,10240 ,56524.800 ,140288 
2 Clients,3718,23142.4,107212.8,263168
4 Clients,8508,52428.8,184627.2,443392
8 Clients,15222,85072.8,246681.6,621056
