,1 Process,4 Processes,16 Processes,64 Processes
1 Client,2385.400,2190.210,2052.360,7081.320 
2 Clients,2383.610,2081.850,2233.790,7079.450 
4 Clients,2216.305,1947.688,2946.017,8842.903 
8 Clients,2073.921,2256.120,4787.496,17002.425 
