,1 Process,4 Processes,16 Processes,64 Processes
1 Client,1073.150,887.570,523.820,784.030
2 Clients,1030.010,691.530,539.525,1042.685
4 Clients,955.972,575.183,618.445,1552.205
8 Clients,789.883,598.393,1016.185,2506.424
