,1 Process,4 Processes,16 Processes,64 Processes
1 Client,305.778,229.562,86.299,23.917
2 Clients,161.31,211.119,76.301,24.439
4 Clients,260.562,223.153,81.209,23.867
8 Clients,350.038,220.744,81.621,17.144
