,1 Process,4 Processes,16 Processes,64 Processes
1 Client,148.000,626.000,1129.000,1130.000
2 Clients,284.000,1241.000,2258.000,2260.000
4 Clients,619.000,2640.000,4517.000,4515.000
8 Clients,1193.000,4994.000,9006.000,9034.000
