,1 Process,4 Processes,16 Processes,64 Processes
1 Client,605.143,3678.138,18631.342,47035.912
2 Clients,1301.151,8365.667,34005.25,64860.041
4 Clients,3032.683,14017.426,50938.926,80692.761
8 Clients,7170.386,32056.959,68761.908,88357.563
