,1 Process,4 Processes,16 Processes,64 Processes
1 Client,6.412,39.100,216.000,534.000
2 Clients,14.525,88.100,409.000,1002.000
4 Clients,33.242,200.200,705.000,1693.000
8 Clients,59.480,328.300,940.000,2369.000
