,1 Process,4 Processes,16 Processes,64 Processes
1 Client,52.200,226.000,956.000,1126.000
2 Clients,104.500,473.000,1763.000,2252.000
4 Clients,225.300,1015.000,2652.000,3472.000
8 Clients,480.600,1753.000,3235.000,3608.000
