,1 Process,4 Processes,16 Processes,64 Processes
1 Client,448.888,2400.803,13638.072,27785.947
2 Clients,925.68,5664.166,25889.163,50434.484
4 Clients,2001.137,12986.968,50330.952,91387.825
8 Clients,4479.831,25933.437,86667.966,112746.199
