,1 Process,4 Processes,16 Processes,64 Processes
1 Client,1180.000,5007.000,9031.000,9040.000
2 Clients,2275.000,9924.000,18062.000,18081.000
4 Clients,4954.000,21117.000,36129.000,36112.000
8 Clients,9531.000,39954.000,72048.000,72264.000
