,1 Process,4 Processes,16 Processes,64 Processes
1 Client,448.618,2421.001,14597.97,43055.15
2 Clients,956.947,5917.576,28930.431,72388.765
4 Clients,2027.02,13213.403,54449.056,104771.356
8 Clients,4643.755,27416.904,89641.301,119542.62
