,1 Process,4 Processes,16 Processes,64 Processes
1 Client,399.779,2118.005,12351.635,34903.672
2 Clients,833.353,5176.812,24471.674,50242.973
4 Clients,1853.617,11462.927,46413.313,91128.059
8 Clients,4441.435,24133.617,74401.336,115013.557
